basis;rzd_code;prod_place;statin_name;
OBK;285706;Ухта;Ветласян, Северная ЖД;
VLA;285706;Ухта;Ветласян, Северная ЖД;
SSG;285706;Ухта;Ветласян, Северная ЖД;
VLA;285706;Ухта;Ветласян, Северная ЖД;
KII;045209;Кириши;Кириши, Октябрьская ЖД;
KIT;045209;Кириши;Кириши, Октябрьская ЖД;
KIT;045209;Кириши;Кириши, Октябрьская ЖД;
KKB;045209;Кириши;Кириши, Октябрьская ЖД;
KNP;045209;Кириши;Кириши, Октябрьская ЖД;
KEF;045209;Кириши;Кириши, Октябрьская ЖД;
LAK;622405;Котово;Лапшинская, Приволжская ЖД;
NVY;314909;Ярославль;Новоярославская, Северная ЖД;
SLF;314909;Ярославль;Новоярославская, Северная ЖД;
PUN;314909;Ярославль;Новоярославская, Северная ЖД;
MOP;194507;Москва;Яничкино, Московская ЖД;
YAI;194507;Москва;Яничкино, Московская ЖД;
RNT;223108;Рязань;Стенькино II, Московская ЖД;
RYY;223108;Рязань;Стенькино II, Московская ЖД;
STI;223108;Рязань;Стенькино II, Московская ЖД;
LNI;269601;Нижний Новгород;Зелецино, Горьковская ЖД;
NOR;269601;Нижний Новгород;Зелецино, Горьковская ЖД;
ZEL;269601;Нижний Новгород;Зелецино, Горьковская ЖД;
LUL;612003;Волгоград;Татьянка, Приволжская ЖД;
LVL;612003;Волгоград;Татьянка, Приволжская ЖД;
KRR;524404;Краснодар;Краснодар I, Северо-Кавказская ЖД;
AKR;617007;Астрахань;Аксарайская II, Приволжская ЖД;
SSI;621002;Саратов;Нефтяная, Приволжская ЖД;
FTS;639400;Самара;Новокуйбышевская, Куйбышевская ЖД;
KUB;639400;Самара;Новокуйбышевская, Куйбышевская ЖД;
NVO;639400;Самара;Новокуйбышевская, Куйбышевская ЖД;
SYZ;639400;Самара;Новокуйбышевская, Куйбышевская ЖД;
SAU;639400;Самара;Новокуйбышевская, Куйбышевская ЖД;
SBL;648202;Нижнекамск;Биклянь, Куйбышевская ЖД;
NZK;648202;Нижнекамск;Биклянь, Куйбышевская ЖД;
BIN;648202;Нижнекамск;Биклянь, Куйбышевская ЖД;
TIF;648202;Нижнекамск;Биклянь, Куйбышевская ЖД;
OTA;648202;Нижнекамск;Биклянь, Куйбышевская ЖД;
SBL;648202;Нижнекамск;Биклянь, Куйбышевская ЖД;
PDK;648202;Нижнекамск;Биклянь, Куйбышевская ЖД;
BIN;648202;Нижнекамск;Биклянь, Куйбышевская ЖД;
NPT;648202;Нижнекамск;Биклянь, Куйбышевская ЖД;
